ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2002-04-04,11.7316,11.6859,11.06,11.8693,11.7792,UP,1
2002-04-05,11.7544,11.7316,11.0665,11.8054,11.7747,UP,1
2002-04-08,11.8001,11.8191,11.0726,11.7704,11.7712,DOWN,0
2002-04-09,11.7316,11.8001,11.0786,11.7521,11.766,DOWN,0
2002-04-10,11.7239,11.7049,11.0851,11.7483,11.759,UP,1
2002-04-11,11.762,11.8001,11.0917,11.7544,11.7506,UP,1
2002-04-12,11.8381,11.762,11.0988,11.7711,11.7434,DOWN,0
2002-04-15,11.8229,11.781,11.1049,11.7757,11.7359,UP,1
2002-04-16,11.9904,11.8305,11.1125,11.8275,11.7322,DOWN,0
2002-04-17,11.8001,11.9143,11.119,11.8427,11.7269,UP,1
2002-04-18,11.9257,11.8001,11.1253,11.8754,11.7313,UP,1
2002-04-19,12.0285,11.8952,11.1312,11.9135,11.7427,DOWN,0
2002-04-22,11.8572,11.9676,11.1354,11.9204,11.7517,UP,1
2002-04-23,12.1274,11.8572,11.1392,11.9478,11.7676,DOWN,0
2002-04-24,11.8952,12.0665,11.1439,11.9668,11.7714,DOWN,0
2002-04-25,11.8572,11.8952,11.1484,11.9531,11.7759,UP,1
2002-04-26,11.9828,11.8952,11.154,11.944,11.7881,DOWN,0
2002-04-29,11.7848,11.9333,11.1594,11.9295,11.796,DOWN,0
2002-04-30,11.7239,11.7848,11.1635,11.8488,11.7973,UP,1
2002-05-01,12.215,11.8001,11.1704,11.9127,11.8125,DOWN,0
2002-05-02,12.1312,12.215,11.1772,11.9676,11.824,DOWN,0
2002-05-03,12.0741,12.1427,11.184,11.9858,11.8371,DOWN,0
2002-05-06,11.9637,12.1807,11.1899,12.0216,11.8467,DOWN,0
2002-05-07,11.8001,12.0361,11.1946,12.0368,11.8505,UP,1
2002-05-08,12.0208,11.8952,11.2002,11.998,11.859,UP,1
2002-05-09,12.1769,12.1731,11.2068,12.0071,11.8652,DOWN,0
2002-05-10,12.1084,12.1959,11.2134,12.014,11.8639,UP,1
2002-05-13,12.2378,12.0856,11.2206,12.0688,11.8725,UP,1
2002-05-14,12.2568,12.2568,11.2284,12.1602,11.8764,UP,1
2002-05-15,12.5081,12.2949,11.2377,12.2576,11.8846,DOWN,0
2002-05-16,12.3939,12.5233,11.2463,12.301,11.8907,DOWN,0
2002-05-17,12.3672,12.3901,11.2548,12.3528,11.8971,DOWN,0
